H_Gh/H_Dh/H_Bn,... in [kWh/m2day]	Ta in [°C]

Mon	day	H_Gh	H_Dh	H_Gk	H_Dk	H_Bn	Ta
2	15	3.75	1.28	3.75	1.28	4.98	8.4
2	16	3.90	1.09	3.90	1.09	5.56	11.3
2	17	3.85	1.27	3.85	1.27	5.19	11.9
2	18	4.01	1.13	4.01	1.13	5.69	11.0
2	19	3.82	1.36	3.82	1.36	4.74	11.6
2	20	1.94	1.86	1.94	1.86	0.15	12.3
2	21	4.45	0.77	4.45	0.77	7.33	13.9
2	22	4.14	1.19	4.14	1.19	5.84	14.4
2	23	4.35	1.04	4.35	1.04	6.42	12.6
2	24	3.85	1.78	3.85	1.78	4.28	12.7
2	25	3.36	2.13	3.36	2.13	2.36	12.5
2	26	2.83	2.17	2.83	2.17	1.66	11.8
2	27	1.94	1.87	1.94	1.87	0.12	12.9
2	28	1.94	1.88	1.94	1.88	0.11	13.1
3	1	4.67	1.07	4.67	1.07	6.83	11.9
3	2	4.54	1.32	4.54	1.32	5.91	11.8
3	3	4.86	0.97	4.86	0.97	7.57	10.8
3	4	3.55	1.91	3.55	1.91	3.00	10.3
3	5	2.41	1.69	2.41	1.69	1.56	10.5
3	6	2.46	1.91	2.46	1.91	0.99	11.3
3	7	3.41	2.56	3.41	2.56	1.79	11.1
3	8	4.63	1.72	4.63	1.72	5.49	9.0
3	9	5.55	0.66	5.55	0.66	9.16	9.5
3	10	4.40	2.06	4.40	2.06	4.46	10.1
3	11	5.34	0.98	5.34	0.98	7.95	11.5
3	12	2.93	2.02	2.93	2.02	1.80	11.0
3	13	3.67	2.72	3.67	2.72	1.72	11.6
3	14	3.22	2.69	3.22	2.69	0.92	12.1
3	15	4.58	2.22	4.58	2.22	4.14	12.6
3	16	5.20	1.57	5.20	1.57	6.38	12.9
3	17	3.37	2.77	3.37	2.77	1.01	17.0
3	18	2.74	2.48	2.74	2.48	0.39	14.4
3	19	5.32	1.68	5.32	1.68	6.51	13.7
3	20	6.11	0.79	6.11	0.79	9.12	12.3
3	21	5.72	1.23	5.72	1.23	7.61	12.4
3	22	6.14	0.84	6.14	0.84	8.95	14.0
3	23	5.96	1.07	5.96	1.07	8.24	13.2
3	24	5.70	1.50	5.70	1.50	6.91	13.5
3	25	5.35	1.97	5.35	1.97	5.61	13.1
3	26	5.61	1.82	5.61	1.82	6.44	12.8
3	27	5.94	1.45	5.94	1.45	7.50	15.2
3	28	2.50	2.29	2.50	2.29	0.38	14.7
3	29	2.22	2.17	2.22	2.17	0.08	13.2
3	30	3.29	2.92	3.29	2.92	0.56	13.8
3	31	4.75	2.93	4.75	2.93	2.90	16.1
4	1	4.14	3.12	4.14	3.12	1.56	12.2
4	2	3.29	2.20	3.29	2.20	1.50	12.3
4	3	3.73	3.15	3.73	3.15	0.86	11.1
4	4	5.35	2.58	5.35	2.58	5.10	12.5
4	5	1.95	1.91	1.95	1.91	0.07	14.6
4	6	5.83	2.15	5.83	2.15	5.87	14.4
4	7	2.91	2.78	2.91	2.78	0.21	15.4
4	8	5.50	2.66	5.50	2.66	4.56	15.1
4	9	6.96	1.03	6.96	1.03	9.43	14.1
4	10	6.59	1.58	6.59	1.58	7.98	17.0
4	11	7.01	1.07	7.01	1.07	9.36	18.5
4	12	7.18	0.97	7.18	0.97	9.76	13.8
4	13	4.75	3.36	4.75	3.36	2.22	13.5
4	14	6.39	2.15	6.39	2.15	6.57	13.2
4	15	5.01	2.63	5.01	2.63	4.28	12.9
4	16	6.69	1.85	6.69	1.85	7.47	12.6
4	17	6.14	2.57	6.14	2.57	5.45	12.8
4	18	6.86	1.75	6.86	1.75	7.86	11.8
4	19	6.52	2.32	6.52	2.32	6.49	10.9
4	20	7.06	1.59	7.06	1.59	8.22	11.7
4	21	7.20	1.42	7.20	1.42	8.57	11.4
4	22	6.13	2.78	6.13	2.78	5.02	12.1
4	23	6.70	2.29	6.70	2.29	6.50	12.8
4	24	5.33	3.08	5.33	3.08	3.78	11.6
4	25	3.50	3.27	3.50	3.27	0.37	11.9
4	26	6.31	2.72	6.31	2.72	5.38	12.5
4	27	7.06	1.99	7.06	1.99	7.41	12.2
4	28	7.22	1.86	7.22	1.86	7.88	12.0
4	29	6.58	2.51	6.58	2.51	5.83	10.5
4	30	4.08	2.79	4.08	2.79	2.49	10.1
5	1	6.00	3.02	6.00	3.02	4.18	14.2
5	2	5.78	2.92	5.78	2.92	4.16	15.2
5	3	5.13	2.73	5.13	2.73	3.70	15.4
5	4	4.54	3.08	4.54	3.08	2.42	14.7
5	5	7.59	1.67	7.59	1.67	8.49	15.7
5	6	7.55	1.79	7.55	1.79	8.28	15.9
5	7	8.09	1.13	8.09	1.13	10.34	14.4
5	8	3.70	3.37	3.70	3.37	0.43	13.5
5	9	8.02	1.23	8.02	1.23	10.02	13.2
5	10	3.34	3.13	3.34	3.13	0.25	12.9
5	11	7.72	1.74	7.72	1.74	8.78	13.8
5	12	7.76	1.73	7.76	1.73	8.85	12.5
5	13	8.12	1.27	8.12	1.27	10.02	13.4
5	14	7.13	2.57	7.13	2.57	6.71	12.7
5	15	7.77	1.82	7.77	1.82	8.69	14.6
5	16	5.79	3.13	5.79	3.13	3.68	14.1
5	17	4.05	2.79	4.05	2.79	1.93	13.9
5	18	8.08	1.48	8.08	1.48	9.61	13.7
5	19	7.77	2.00	7.77	2.00	8.50	14.5
5	20	7.23	2.65	7.23	2.65	6.69	20.7
5	21	6.96	2.88	6.96	2.88	6.04	17.9
5	22	7.54	2.51	7.54	2.51	7.62	16.6
5	23	7.96	1.83	7.96	1.83	9.18	17.0
5	24	6.34	2.69	6.34	2.69	5.74	15.6
5	25	4.14	2.61	4.14	2.61	3.10	16.0
5	26	6.48	3.40	6.48	3.40	4.71	16.4
5	27	5.42	3.07	5.42	3.07	4.13	17.4
5	28	7.58	2.51	7.58	2.51	7.60	19.3
5	29	5.84	2.31	5.84	2.31	4.96	16.2
5	30	7.37	2.80	7.37	2.80	6.72	14.9
5	31	2.17	2.15	2.17	2.15	0.02	14.9
6	1	6.79	3.24	6.79	3.24	5.65	15.4
6	2	8.33	1.49	8.33	1.49	10.13	15.8
6	3	6.61	3.41	6.61	3.41	4.97	15.7
6	4	4.15	3.60	4.15	3.60	0.71	14.1
6	5	6.71	3.33	6.71	3.33	4.99	15.1
6	6	4.35	3.88	4.35	3.88	0.65	15.0
6	7	6.01	4.02	6.01	4.02	2.79	14.7
6	8	7.80	2.51	7.80	2.51	7.88	13.8
6	9	7.38	2.76	7.38	2.76	6.94	14.5
6	10	8.68	1.19	8.68	1.19	11.05	14.8
6	11	8.02	2.16	8.02	2.16	8.54	15.5
6	12	8.54	1.33	8.54	1.33	10.62	16.2
6	13	7.59	2.65	7.59	2.65	7.37	17.1
6	14	8.52	1.39	8.52	1.39	10.57	16.4
6	15	8.30	1.70	8.30	1.70	9.69	15.8
6	16	8.10	2.05	8.10	2.05	8.96	16.1
6	17	8.04	2.17	8.04	2.17	8.73	15.1
6	18	7.90	2.41	7.90	2.41	7.96	16.8
6	19	6.52	3.63	6.52	3.63	4.16	21.6
6	20	3.00	2.88	3.00	2.88	0.13	20.3
6	21	7.70	2.69	7.70	2.69	7.40	19.2
6	22	8.42	1.55	8.42	1.55	9.87	18.3
6	23	8.17	1.94	8.17	1.94	9.04	17.8
6	24	8.17	1.93	8.17	1.93	9.02	17.5
6	25	8.07	2.11	8.07	2.11	8.68	18.7
6	26	4.57	3.80	4.57	3.80	1.52	16.5
6	27	5.45	3.20	5.45	3.20	3.05	16.1
6	28	7.97	2.29	7.97	2.29	8.36	15.9
6	29	6.33	3.73	6.33	3.73	3.64	15.2
6	30	8.35	1.62	8.35	1.62	9.79	15.4
7	1	7.74	2.61	7.74	2.61	7.65	16.9
7	2	7.10	3.10	7.10	3.10	6.12	17.4
7	3	3.82	3.58	3.82	3.58	0.29	17.8
7	4	6.38	3.06	6.38	3.06	5.25	15.9
7	5	6.03	3.85	6.03	3.85	3.14	16.0
7	6	8.61	1.23	8.61	1.23	10.79	15.8
7	7	7.36	2.80	7.36	2.80	6.74	16.3
7	8	8.75	1.12	8.75	1.12	11.21	17.7
7	9	8.32	1.51	8.32	1.51	9.60	19.5
7	10	8.28	1.55	8.28	1.55	9.44	18.1
7	11	8.51	1.27	8.51	1.27	10.17	17.3
7	12	6.37	3.13	6.37	3.13	5.30	17.0
7	13	5.43	2.82	5.43	2.82	3.98	17.1
7	14	7.39	2.56	7.39	2.56	6.90	15.1
7	15	8.39	1.29	8.39	1.29	10.18	14.8
7	16	8.04	1.72	8.04	1.72	8.97	15.6
7	17	7.49	2.40	7.49	2.40	7.51	16.4
7	18	4.90	3.77	4.90	3.77	1.89	18.3
7	19	5.89	3.60	5.89	3.60	3.25	18.4
7	20	7.83	1.94	7.83	1.94	8.42	16.2
7	21	7.78	2.03	7.78	2.03	8.41	24.5
7	22	4.09	2.71	4.09	2.71	1.54	22.0
7	23	6.33	3.08	6.33	3.08	4.97	18.9
7	24	8.05	1.46	8.05	1.46	9.55	18.0
7	25	7.40	2.40	7.40	2.40	7.58	16.6
7	26	7.59	2.12	7.59	2.12	7.89	15.4
7	27	7.39	2.41	7.39	2.41	7.30	16.7
7	28	7.75	1.76	7.75	1.76	8.68	17.5
7	29	7.78	1.67	7.78	1.67	8.93	19.2
7	30	7.44	2.20	7.44	2.20	7.73	16.5
7	31	6.87	2.68	6.87	2.68	6.14	18.5
8	1	7.96	1.29	7.96	1.29	9.81	16.8
8	2	6.88	2.62	6.88	2.62	6.25	16.6
8	3	6.92	2.50	6.92	2.50	6.58	15.9
8	4	7.23	2.32	7.23	2.32	7.42	15.3
8	5	5.67	3.32	5.67	3.32	4.16	16.4
8	6	6.84	2.56	6.84	2.56	6.36	16.2
8	7	5.63	3.60	5.63	3.60	3.12	15.6
8	8	6.54	2.76	6.54	2.76	5.51	16.5
8	9	6.80	2.43	6.80	2.43	6.54	16.0
8	10	7.80	1.15	7.80	1.15	9.91	16.9
8	11	1.87	1.86	1.87	1.86	0.01	17.4
8	12	3.67	3.25	3.67	3.25	0.99	17.6
8	13	6.84	2.40	6.84	2.40	6.77	17.2
8	14	4.35	3.53	4.35	3.53	1.64	17.8
8	15	7.28	1.58	7.28	1.58	8.31	17.3
8	16	7.20	1.64	7.20	1.64	8.13	17.5
8	17	7.35	1.37	7.35	1.37	8.77	18.8
8	18	6.29	2.58	6.29	2.58	5.46	20.9
8	19	6.46	2.43	6.46	2.43	6.02	22.1
8	20	7.60	1.02	7.60	1.02	9.70	19.2
8	21	6.59	2.21	6.59	2.21	6.57	17.9
8	22	6.83	1.82	6.83	1.82	7.64	16.7
8	23	7.04	1.43	7.04	1.43	8.48	17.0
8	24	6.91	1.57	6.91	1.57	8.14	18.1
8	25	7.04	1.30	7.04	1.30	8.80	18.9
8	26	6.82	1.57	6.82	1.57	8.05	18.2
8	27	5.90	2.58	5.90	2.58	4.93	19.5
8	28	5.92	2.52	5.92	2.52	5.26	18.7
8	29	5.80	2.54	5.80	2.54	5.04	18.4
8	30	5.80	2.57	5.80	2.57	4.96	18.5
8	31	6.59	1.62	6.59	1.62	7.86	19.7
9	1	6.72	1.31	6.72	1.31	8.55	19.7
9	2	5.56	2.62	5.56	2.62	4.83	20.2
9	3	6.02	2.09	6.02	2.09	6.25	20.6
9	4	4.27	2.87	4.27	2.87	2.23	22.9
9	5	2.10	1.92	2.10	1.92	0.24	21.7
9	6	5.61	2.33	5.61	2.33	5.27	19.3
9	7	1.42	1.42	1.42	1.42	0.00	16.7
9	8	5.81	2.11	5.81	2.11	6.09	16.9
9	9	5.68	2.07	5.68	2.07	5.88	16.0
9	10	6.39	1.13	6.39	1.13	8.82	15.8
9	11	6.60	0.85	6.60	0.85	9.63	14.9
9	12	6.26	1.16	6.26	1.16	8.65	15.4
9	13	6.46	0.88	6.46	0.88	9.41	15.6
9	14	6.55	0.79	6.55	0.79	9.80	18.0
9	15	5.49	1.96	5.49	1.96	6.07	17.3
9	16	5.33	2.08	5.33	2.08	5.59	16.5
9	17	6.38	0.78	6.38	0.78	9.69	15.2
9	18	5.85	1.29	5.85	1.29	7.95	17.0
9	19	6.06	0.96	6.06	0.96	8.88	16.4
9	20	5.98	0.99	5.98	0.99	8.77	16.2
9	21	5.87	1.06	5.87	1.06	8.17	16.8
9	22	5.67	1.27	5.67	1.27	7.58	16.5
9	23	4.40	2.52	4.40	2.52	3.64	17.6
9	24	5.81	0.94	5.81	0.94	8.32	18.8
9	25	5.79	0.93	5.79	0.93	7.95	18.4
9	26	4.70	2.12	4.70	2.12	4.40	17.1
9	27	5.30	1.34	5.30	1.34	6.55	17.3
9	28	5.61	0.92	5.61	0.92	7.78	16.1
9	29	5.43	1.03	5.43	1.03	7.38	17.4
9	30	4.46	2.14	4.46	2.14	3.99	16.1
10	1	5.58	0.81	5.58	0.81	8.10	14.9
10	2	5.40	0.89	5.40	0.89	7.73	14.6
10	3	4.44	2.02	4.44	2.02	4.15	15.0
10	4	4.58	1.80	4.58	1.80	4.86	15.5
10	5	4.91	1.33	4.91	1.33	6.15	16.3
10	6	5.27	0.80	5.27	0.80	7.87	16.4
10	7	5.19	0.84	5.19	0.84	7.74	16.9
10	8	5.37	0.73	5.37	0.73	8.28	15.9
10	9	3.11	2.30	3.11	2.30	1.46	17.1
10	10	4.04	1.91	4.04	1.91	3.88	19.5
10	11	5.15	0.71	5.15	0.71	8.10	20.7
10	12	4.30	1.60	4.30	1.60	5.09	18.4
10	13	3.91	1.89	3.91	1.89	3.79	18.0
10	14	4.59	1.02	4.59	1.02	6.61	17.6
10	15	2.98	1.63	2.98	1.63	2.56	17.2
10	16	3.97	1.73	3.97	1.73	4.57	15.6
10	17	4.18	1.35	4.18	1.35	5.42	16.1
10	18	3.37	2.09	3.37	2.09	2.54	15.8
10	19	3.19	2.19	3.19	2.19	1.91	15.3
10	20	2.17	2.03	2.17	2.03	0.27	16.7
10	21	2.60	1.31	2.60	1.31	2.25	16.6
10	22	2.25	1.70	2.25	1.70	1.01	15.2
10	23	4.29	0.76	4.29	0.76	7.14	14.5
10	24	2.01	1.90	2.01	1.90	0.22	14.7
10	25	3.93	1.07	3.93	1.07	5.93	13.8
10	26	3.72	1.32	3.72	1.32	4.99	13.2
10	27	1.20	1.19	1.20	1.19	0.01	13.4
10	28	2.27	1.98	2.27	1.98	0.60	12.8
10	29	1.93	1.82	1.93	1.82	0.22	14.1
10	30	3.25	1.52	3.25	1.52	3.71	14.3
10	31	3.11	1.63	3.11	1.63	3.29	14.0
11	1	3.28	1.41	3.28	1.41	3.92	10.3
11	2	2.99	1.52	2.99	1.52	2.71	10.8
11	3	2.21	1.88	2.21	1.88	0.73	11.1
11	4	2.12	1.51	2.12	1.51	1.69	11.3
11	5	3.80	0.58	3.80	0.58	7.38	12.1
11	6	2.64	1.34	2.64	1.34	3.20	12.3
11	7	2.92	1.39	2.92	1.39	3.70	12.9
11	8	3.55	0.71	3.55	0.71	6.51	14.7
11	9	3.68	0.60	3.68	0.60	6.87	15.4
11	10	3.16	1.13	3.16	1.13	4.54	16.1
11	11	2.97	1.25	2.97	1.25	3.77	16.6
11	12	2.59	1.43	2.59	1.43	2.49	14.4
11	13	1.23	0.70	1.23	0.70	1.35	13.4
11	14	1.27	0.68	1.27	0.68	1.52	12.4
11	15	1.58	1.04	1.58	1.04	1.42	11.9
11	16	1.34	0.84	1.34	0.84	1.35	13.1
11	17	1.68	1.39	1.68	1.39	0.88	12.8
11	18	3.24	0.62	3.24	0.62	6.23	12.5
11	19	3.26	0.56	3.26	0.56	6.48	15.7
11	20	2.92	0.88	2.92	0.88	4.80	15.1
11	21	1.86	1.36	1.86	1.36	1.36	13.1
11	22	1.72	1.38	1.72	1.38	0.80	13.7
11	23	2.97	0.72	2.97	0.72	5.25	14.1
11	24	3.21	0.56	3.21	0.56	6.20	11.5
11	25	3.11	0.57	3.11	0.57	5.98	12.2
11	26	2.17	1.35	2.17	1.35	1.90	12.7
11	27	1.91	1.51	1.91	1.51	0.98	11.7
11	28	3.14	0.55	3.14	0.55	6.22	10.6
11	29	2.17	1.31	2.17	1.31	2.14	9.2
11	30	0.95	0.94	0.95	0.94	0.02	9.6
12	1	2.57	0.97	2.57	0.97	3.87	9.2
12	2	2.72	0.85	2.72	0.85	4.52	8.7
12	3	2.23	1.12	2.23	1.12	2.76	11.2
12	4	1.93	1.34	1.93	1.34	1.40	11.3
12	5	2.41	0.97	2.41	0.97	3.55	9.7
12	6	2.31	1.02	2.31	1.02	3.19	9.3
12	7	2.14	1.15	2.14	1.15	2.43	10.0
12	8	1.44	0.95	1.44	0.95	1.39	10.6
12	9	2.66	0.67	2.66	0.67	5.06	9.5
12	10	2.78	0.55	2.78	0.55	5.61	10.6
12	11	2.49	0.78	2.49	0.78	4.28	9.0
12	12	2.00	1.16	2.00	1.16	2.10	10.9
12	13	2.35	1.01	2.35	1.01	3.28	10.4
12	14	2.64	0.64	2.64	0.64	5.11	11.6
12	15	2.45	0.84	2.45	0.84	4.09	12.1
12	16	2.03	1.13	2.03	1.13	2.33	13.7
12	17	1.70	1.09	1.70	1.09	1.81	11.9
12	18	1.17	1.13	1.17	1.13	0.08	13.9
12	19	1.84	1.33	1.84	1.33	1.41	13.2
12	20	1.72	1.23	1.72	1.23	1.37	12.9
12	21	2.45	0.80	2.45	0.80	4.28	9.9
12	22	2.53	0.73	2.53	0.73	4.62	12.2
12	23	1.90	1.14	1.90	1.14	2.09	11.0
12	24	2.10	1.06	2.10	1.06	2.64	7.4
12	25	2.11	1.20	2.11	1.20	2.52	6.7
12	26	2.64	0.60	2.64	0.60	5.23	8.1
12	27	1.52	1.30	1.52	1.30	0.63	8.4
12	28	1.19	1.15	1.19	1.15	0.11	10.0
12	29	2.57	0.73	2.57	0.73	4.64	11.8
12	30	1.44	1.29	1.44	1.29	0.39	12.5
12	31	1.45	1.30	1.45	1.30	0.38	11.4
